date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:08:32	325/325	---M--	200	added ('OK')	image/gif	etag:%2218392e-145-4c5227ecb9c8f%22	http://java.boot.by/wcd-guide/images/mm.gif	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/images/mm.gif	(from )
11:08:33	392/392	---M--	200	added ('OK')	image/gif	etag:%2218392c-188-4c5227ecb8cfb%22	http://java.boot.by/wcd-guide/images/ibm-287.gif	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/images/ibm-287.gif	(from )
11:08:33	2808/2808	---M--	200	added ('OK')	image/png	etag:%2218393d-af8-4c5227eccb9b0%22	http://java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_142_0002.png	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_142_0002.png	(from http://java.boot.by/wcd-guide/index.html)
11:08:33	1862/1862	---M--	200	added ('OK')	image/png	etag:%2218393b-746-4c5227eccaa1b%22	http://java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_141_0003.png	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_141_0003.png	(from http://java.boot.by/wcd-guide/index.html)
11:08:33	11727/11727	---M--	200	added ('OK')	image/png	etag:%22183938-2dcf-4c5227ecc92c1%22	http://java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_140_0001.png	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_140_0001.png	(from http://java.boot.by/wcd-guide/index.html)
11:08:34	2019/2019	---M--	200	added ('OK')	image/png	etag:%22183939-7e3-4c5227ecc9a76%22	http://java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_141_0001.png	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_141_0001.png	(from http://java.boot.by/wcd-guide/index.html)
11:08:34	1292/1292	---M--	200	added ('OK')	image/png	etag:%2218393c-50c-4c5227eccb1ba%22	http://java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_142_0001.png	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_142_0001.png	(from http://java.boot.by/wcd-guide/index.html)
11:08:34	3622/3622	---M--	200	added ('OK')	image/png	etag:%22183942-e26-4c5227ecce89b%22	http://java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_146_0001.png	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_146_0001.png	(from http://java.boot.by/wcd-guide/index.html)
11:08:34	4435/4435	---M--	200	added ('OK')	image/png	etag:%22183943-1153-4c5227eccf428%22	http://java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_146_0002.png	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_146_0002.png	(from http://java.boot.by/wcd-guide/index.html)
11:08:35	4704/4704	---M--	200	added ('OK')	image/png	etag:%22183944-1260-4c5227eccfc12%22	http://java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_147_0001.png	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_147_0001.png	(from http://java.boot.by/wcd-guide/index.html)
11:08:35	4150/4150	---M--	200	added ('OK')	image/png	etag:%22183946-1036-4c5227ecd1357%22	http://java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_149_0001.png	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_149_0001.png	(from http://java.boot.by/wcd-guide/index.html)
11:08:35	2982/2982	---M--	200	added ('OK')	image/png	etag:%22183947-ba6-4c5227ecd1b4b%22	http://java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_149_0002.png	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/images/servlet-2_4-fr-spec_149_0002.png	(from http://java.boot.by/wcd-guide/index.html)
11:08:36	517/517	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Jan%202015%2010:08:37%20GMT	http://java.boot.by/wcd-guide/hotlog=1;%20path=/	C:/My%20Web%20Sites/jsp/java.boot.by/wcd-guide/hotlog=1;%20path=/index.html	(from http://java.boot.by/wcd-guide/index.html)
