Performance Statistics   2020-02-28 07:46:00 - 2020-02-28 07:46:30
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
global.servletRequest.svc_security.ok                    0.0           0           0         0.0           2
partner.PGroupDisplay.getDisplayPNG.ok                 288.5           0         577       288.5           2
partner.PGroupDisplay.updateCache.ok                    58.8           0         526       165.2           9
partner.PGroupMember.PhoneDisplay.ok                     3.2           1          16         4.7          13
partner.PGroupMember.notifySubscrbrs.ok                  0.0           0           0         0.0          21
partner.PGroupMember.observe.ok                         47.3           2          81        33.3           3
partner.PGroupMember.uSAG.getGroupTerminals.ok           5.7           0          34        11.6           7
partner.PGroupMember.uSAG.notifySubscribers.1            0.4           0           2         0.7           7
partner.PGroupMember.uSAG.notifySubscribers.ok           0.0           0           0         0.0           7
partner.PGroupMember.uSAG.ok                            13.9           3          54        17.1           7
partner.PGroupMember.uSAG.prepPushData.ok                6.4           2          17         5.9           7
partner.PGroupMember.uSAG.push2Terms.ok                  0.3           0           2         0.7           7
partner.pdevice.checkPDeviceValidity.ok                  3.6           0          19         5.9           9
partner.servletRequest.ok                              557.5         531         584        26.5           2
startup.ccmphone.loadAttr.loadExt.ok                  1226.5        1183        1270        43.5           2
startup.ccmphone.loadAttr.loadPhone.ok                 281.0         222         340        59.0           2
startup.comm.modu.CTE.1                                  0.0           0           0         0.0           1
startup.comm.modu.CTE.2                                  0.0           0           0         0.0           1
startup.comm.modu.CTE.6                                  0.0           0           0         0.0           1
startup.comm.modu.CTE.7                                  0.0           0           0         0.0           1
startup.comm.modu.CTE.ok                                 0.0           0           0         0.0           1
webuser.providerEvent.OK                                 0.0           0           0         0.0           1

Performance Statistics   2020-02-28 07:46:30 - 2020-02-28 07:47:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
callrouting.cache_emailnotify_gc#                        0.0           0           0         0.0           2
global.events.add#                                       0.0           0           0         0.0          15
global.events.enqueue#                                   0.0           0           0         0.0          15
global.events.queues.APAS-PGMAXLWorker-1~                5.0           5           5         0.0           1
global.events.queues.APAS-PGMWorker-10~                  1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-1~                   1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-2~                   1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-3~                   1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-4~                   1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-5~                   1.0           1           1         0.0           1
global.events.queues.APAS-PGMWorker-6~                   1.0           1           1         0.0           1
